idEstudio,nombre,acronimo,Centros_idCentros,activo,tipo
958,Grau en Enginyeria Informàtica,GEI,115,1,Grau
951,Grau en Enginyeria Química,GEQ,115,1,Grau
956,Grau en Enginyeria de Sistemes de Telecomunicació,GEST,115,1,Grau
957,Grau en Enginyeria Electrònica de Telecomunicació,GEET,115,1,Grau
1206,Grau en Enginyeria Informàtica (Menció en Enginyeria de Computadors) i Grau en Enginyeria Electrònica de Telecomunicació,GEI+GEET,115,1,Grau
1207,Grau en Enginyeria Informàtica (Menció en Tecnologies de la Informació) i Grau en Enginyeria de Sistemes de Telecomunicació,GEI+GEST,115,1,Grau
1365,Grau en Enginyeria Electrònica de Telecomunicació i Grau en Enginyeria de Sistemes de Telecomunicació,GEET+GEST,115,1,Grau
1394,Grau en Enginyeria de Dades,GED,115,1,Grau
1395,Grau en Gestió de Ciutats Intel·ligents i Sostenibles,GGCIS,115,1,Grau
1170,Màster en Enginyeria de Telecomunicació,MET,115,1,Màster
